File,Vertex Cover Size,Computation Time (seconds)
pace2019_track1_vc_exact_all/vc-exact_135.gr,20000,0.0242513
pace2019_track1_vc_exact_all/vc-exact_136.gr,13822,0.0182034
pace2019_track1_vc_exact_all/vc-exact_137.gr,20000,0.0251771
pace2019_track1_vc_exact_all/vc-exact_138.gr,13822,0.0183825
pace2019_track1_vc_exact_all/vc-exact_139.gr,13822,0.0169436
pace2019_track1_vc_exact_all/vc-exact_140.gr,20000,0.0267481
pace2019_track1_vc_exact_all/vc-exact_141.gr,13822,0.0171941
pace2019_track1_vc_exact_all/vc-exact_142.gr,2120,0.00309571
pace2019_track1_vc_exact_all/vc-exact_143.gr,13822,0.0183204
pace2019_track1_vc_exact_all/vc-exact_144.gr,20000,0.0262802
pace2019_track1_vc_exact_all/vc-exact_145.gr,13822,0.0178137
pace2019_track1_vc_exact_all/vc-exact_146.gr,20000,0.0250705
pace2019_track1_vc_exact_all/vc-exact_147.gr,13822,0.0175814
pace2019_track1_vc_exact_all/vc-exact_148.gr,20000,0.0252281
pace2019_track1_vc_exact_all/vc-exact_149.gr,20000,0.0270629
pace2019_track1_vc_exact_all/vc-exact_150.gr,20000,0.0269979
pace2019_track1_vc_exact_all/vc-exact_151.gr,12056,0.0151064
pace2019_track1_vc_exact_all/vc-exact_152.gr,10380,0.0132551
pace2019_track1_vc_exact_all/vc-exact_153.gr,22180,0.0280662
pace2019_track1_vc_exact_all/vc-exact_154.gr,12056,0.0147858
pace2019_track1_vc_exact_all/vc-exact_155.gr,20000,0.0246674
pace2019_track1_vc_exact_all/vc-exact_156.gr,450,0.00462223
pace2019_track1_vc_exact_all/vc-exact_157.gr,2120,0.00310221
pace2019_track1_vc_exact_all/vc-exact_158.gr,12056,0.0150337
pace2019_track1_vc_exact_all/vc-exact_159.gr,13822,0.0167655
pace2019_track1_vc_exact_all/vc-exact_160.gr,13822,0.0167721
pace2019_track1_vc_exact_all/vc-exact_161.gr,102992,0.138831
pace2019_track1_vc_exact_all/vc-exact_162.gr,37800,0.0500314
pace2019_track1_vc_exact_all/vc-exact_163.gr,13822,0.0167403
pace2019_track1_vc_exact_all/vc-exact_164.gr,22320,0.0274789
pace2019_track1_vc_exact_all/vc-exact_165.gr,13822,0.016737
pace2019_track1_vc_exact_all/vc-exact_166.gr,2332,0.00330942
pace2019_track1_vc_exact_all/vc-exact_167.gr,12056,0.0145078
pace2019_track1_vc_exact_all/vc-exact_168.gr,2120,0.00301546
pace2019_track1_vc_exact_all/vc-exact_169.gr,3392,0.00479236
pace2019_track1_vc_exact_all/vc-exact_170.gr,12056,0.0146485
